judge_model,arm,candidate_model,question_number,question_type,judge_recommended,status,faithfulness,completeness,correctness,judge_total,hallucinated_company,needs_human_review,notes,raw_judge_response
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,40,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,42,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,15,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,16,list_multi_filter_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,23,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,24,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,25,count_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,30,aggregation_ranking_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,33,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,38,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,39,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,40,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,gemma3:12b,42,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,15,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,16,list_multi_filter_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,23,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,24,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,25,count_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,30,aggregation_ranking_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,33,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,38,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,39,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,40,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,batchwise_map_reduce,qwen2.5:14b,42,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
