judge_model,arm,candidate_model,question_number,question_type,judge_recommended,status,faithfulness,completeness,correctness,judge_total,hallucinated_company,needs_human_review,notes,raw_judge_response,prompt_eval_count,eval_count
gpt-oss:120b,direct_context,deepseek-r1:32b,11,list_or_lookup,False,ok,1,2,2,5,False,False,"Correct products listed, but row_id for fire truck bodies is incorrect (should be 161, not 160).","{
  ""faithfulness"": 1,
  ""completeness"": 2,
  ""correctness"": 2,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Correct products listed, but row_id for fire truck bodies is incorrect (should be 161, not 160).""
}",34470,944
gpt-oss:120b,direct_context,deepseek-r1:32b,12,list_multi_filter,False,ok,0,0,0,0,True,False,"The answer lists many companies that are not Tier 2/3 or lack primary EV/battery relevance, includes incorrect roles, and contains a fabricated company name.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": true,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists many companies that are not Tier 2/3 or lack primary EV/battery relevance, includes incorrect roles, and contains a fabricated company name.""
}",34985,1100
gpt-oss:120b,direct_context,deepseek-r1:32b,13,list_or_lookup,False,ok,0,0,0,0,False,False,"The answer omits several Rivian-linked suppliers (e.g., Duckyang, GSC Steel Stamping) and misstates EV Supply Chain Roles.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer omits several Rivian-linked suppliers (e.g., Duckyang, GSC Steel Stamping) and misstates EV Supply Chain Roles.""
}",34422,907
gpt-oss:120b,direct_context,deepseek-r1:32b,14,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer omits Woodbridge Foam Corp., which also has an EV wiring harness role, and incorrectly claims only one company exists.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer omits Woodbridge Foam Corp., which also has an EV wiring harness role, and incorrectly claims only one company exists.""
}",34433,394
gpt-oss:120b,direct_context,deepseek-r1:32b,15,list_or_lookup_judge_recommended,True,ok,0,0,0,0,False,False,"The answer lists companies that are not Tier 2/3 or not in the Electronic and Electrical Equipment industry group, and thus does not satisfy the query.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists companies that are not Tier 2/3 or not in the Electronic and Electrical Equipment industry group, and thus does not satisfy the query.""
}",34681,660
gpt-oss:120b,direct_context,deepseek-r1:32b,16,list_multi_filter_judge_recommended,True,ok,2,2,2,6,False,False,"Answer correctly lists Duckyang as the only GA company manufacturing electrodeposited copper foil for EV batteries, fully supported by the KB.","{
  ""faithfulness"": 2,
  ""completeness"": 2,
  ""correctness"": 2,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer correctly lists Duckyang as the only GA company manufacturing electrodeposited copper foil for EV batteries, fully supported by the KB.""
}",34416,453
gpt-oss:120b,direct_context,deepseek-r1:32b,17,list_or_lookup,False,ok,0,0,0,0,False,False,"The answer incorrectly states no matching Tier 1/2 companies, missing relevant entries such as PHA Body Systems LLC (Tier 1) producing plastic fuel tanks and Peerless‑Winsmith (Tier 1) offering thermal solutions.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly states no matching Tier 1/2 companies, missing relevant entries such as PHA Body Systems LLC (Tier 1) producing plastic fuel tanks and Peerless‑Winsmith (Tier 1) offering thermal solutions.""
}",34405,1002
gpt-oss:120b,direct_context,deepseek-r1:32b,18,list_or_lookup,False,ok,2,1,1,4,False,False,"Answer correctly lists GSC Steel Stamping LLC and Hyundai MOBIS but omits Hyundai Transys Georgia Seating Systems, which also produces capacitors.","{
  ""faithfulness"": 2,
  ""completeness"": 1,
  ""correctness"": 1,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer correctly lists GSC Steel Stamping LLC and Hyundai MOBIS but omits Hyundai Transys Georgia Seating Systems, which also produces capacitors.""
}",34435,968
gpt-oss:120b,direct_context,deepseek-r1:32b,19,list_or_lookup,False,ok,2,2,2,6,False,False,Answer correctly lists the only Georgia company with powder coating services and its tier.,"{
  ""faithfulness"": 2,
  ""completeness"": 2,
  ""correctness"": 2,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer correctly lists the only Georgia company with powder coating services and its tier.""
}",34401,332
gpt-oss:120b,direct_context,deepseek-r1:32b,20,list_or_lookup,False,ok,0,0,0,0,False,False,"The answer incorrectly states only two companies meet the criteria, omitting several valid Tier 1/2 battery cell or pack firms (e.g., F&P Georgia Manufacturing, Honda Development & Manufacturing, Hyundai Motor Group, IMMI) and thus is neither faithful nor complete.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly states only two companies meet the criteria, omitting several valid Tier 1/2 battery cell or pack firms (e.g., F&P Georgia Manufacturing, Honda Development & Manufacturing, Hyundai Motor Group, IMMI) and thus is neither faithful nor complete.""
}",34496,834
gpt-oss:120b,direct_context,deepseek-r1:32b,21,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer lists many companies that do not meet the Tier 2/3, >300 employees, General Automotive criteria and omits the correct ones.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists many companies that do not meet the Tier 2/3, >300 employees, General Automotive criteria and omits the correct ones.""
}",34886,2726
gpt-oss:120b,direct_context,deepseek-r1:32b,22,list_or_lookup,False,ok,0,0,1,1,False,False,"The answer omits Archer Aviation Inc., another Tier 2/3 company in Chemicals and Allied Products, and incorrectly claims only one such company exists.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 1,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer omits Archer Aviation Inc., another Tier 2/3 company in Chemicals and Allied Products, and incorrectly claims only one such company exists.""
}",34410,686
gpt-oss:120b,direct_context,deepseek-r1:32b,23,list_or_lookup_judge_recommended,True,ok,1,0,1,2,False,False,"Answer misstates the number of unique roles, omits several single-occurrence roles (e.g., Charging Infrastructure), and includes an incorrect row_id reference.","{
  ""faithfulness"": 1,
  ""completeness"": 0,
  ""correctness"": 1,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer misstates the number of unique roles, omits several single-occurrence roles (e.g., Charging Infrastructure), and includes an incorrect row_id reference.""
}",34662,2048
gpt-oss:120b,direct_context,deepseek-r1:32b,24,list_or_lookup_judge_recommended,True,ok,0,0,0,0,False,True,"Answer lists incorrect supplier (row 35) and omits several valid sole‑sourced battery cell/pack suppliers such as rows 53, 78","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": true,
  ""notes"": ""Answer lists incorrect supplier (row 35) and omits several valid sole‑sourced battery cell/pack suppliers such as rows 53, 78""
}",34458,1058
gpt-oss:120b,direct_context,deepseek-r1:32b,25,count_judge_recommended,True,ok,0,0,0,0,False,False,The answer incorrectly states only one supplier (<200 employees) while the KB shows at least two (row_id 84 and row_id 150).,"{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly states only one supplier (<200 employees) while the KB shows at least two (row_id 84 and row_id 150).""
}",34405,795
gpt-oss:120b,direct_context,deepseek-r1:32b,26,list_or_lookup,False,ok,0,0,0,0,False,False,"The answer incorrectly claims only one Tier 2/3 EV‑relevant General Automotive supplier exists, omitting many valid entries.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly claims only one Tier 2/3 EV‑relevant General Automotive supplier exists, omitting many valid entries.""
}",34421,1400
gpt-oss:120b,direct_context,deepseek-r1:32b,27,list_multi_filter,False,ok,0,0,0,0,False,True,"The answer lists many companies that are not Tier 1/2 or do not serve Multiple OEMs, omits correct entries, and contains numerous factual mismatches with the knowledge base.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": true,
  ""notes"": ""The answer lists many companies that are not Tier 1/2 or do not serve Multiple OEMs, omits correct entries, and contains numerous factual mismatches with the knowledge base.""
}",35203,652
gpt-oss:120b,direct_context,deepseek-r1:32b,28,list_or_lookup,False,ok,0,0,0,0,False,False,"The answer incorrectly states no matching companies, despite several Thermal Management firms with <200 employees in the KB.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly states no matching companies, despite several Thermal Management firms with <200 employees in the KB.""
}",34404,522
gpt-oss:120b,direct_context,deepseek-r1:32b,29,list_or_lookup,False,ok,0,1,0,1,False,False,"The answer lists companies not meeting the required categories (e.g., row 180) and includes non-Georgia firms, with an incorrect count of 35.","{
  ""faithfulness"": 0,
  ""completeness"": 1,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists companies not meeting the required categories (e.g., row 180) and includes non-Georgia firms, with an incorrect count of 35.""
}",34912,1800
gpt-oss:120b,direct_context,deepseek-r1:32b,30,aggregation_ranking_judge_recommended,True,ok,0,0,0,0,False,False,"Answer lists companies that do not satisfy the required dual role and fails to provide a top‑10 list, with several unsupported claims.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer lists companies that do not satisfy the required dual role and fails to provide a top‑10 list, with several unsupported claims.""
}",34543,1569
gpt-oss:120b,direct_context,deepseek-r1:32b,31,list_or_lookup,False,ok,0,0,0,0,True,False,"The answer lists many companies that are not Tier 2/3, do not produce lightweight aluminum or composites, and includes a company not present in the knowledge base.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": true,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists many companies that are not Tier 2/3, do not produce lightweight aluminum or composites, and includes a company not present in the knowledge base.""
}",34675,888
gpt-oss:120b,direct_context,deepseek-r1:32b,32,list_or_lookup,False,ok,0,0,0,0,False,False,Answer incorrectly lists WIKA USA (product description lacks required terms) and omits GSC Steel Stamping LLC which mentions DC-to-DC.,"{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer incorrectly lists WIKA USA (product description lacks required terms) and omits GSC Steel Stamping LLC which mentions DC-to-DC.""
}",34466,1731
gpt-oss:120b,direct_context,deepseek-r1:32b,33,list_or_lookup_judge_recommended,True,ok,0,0,0,0,False,False,"Answer includes TE Connectivity as Indirectly Relevant, but KB marks it as 'No'; also omits that only three companies meet the criteria.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer includes TE Connectivity as Indirectly Relevant, but KB marks it as 'No'; also omits that only three companies meet the criteria.""
}",34501,3059
gpt-oss:120b,direct_context,deepseek-r1:32b,34,aggregation_ranking,False,ok,0,0,0,0,False,False,"Answer repeats the same company (ZF Gainesville LLC) as separate entries, misstates its employment numbers, omits other distinct thermal‑management firms, and does not correctly identify the top four Georgia companies.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer repeats the same company (ZF Gainesville LLC) as separate entries, misstates its employment numbers, omits other distinct thermal‑management firms, and does not correctly identify the top four Georgia companies.""
}",34492,1353
gpt-oss:120b,direct_context,deepseek-r1:32b,35,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer lists incorrect and incomplete companies for thermal-related roles, omitting several relevant entries and misclassifying TI Fluid Systems.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists incorrect and incomplete companies for thermal-related roles, omitting several relevant entries and misclassifying TI Fluid Systems.""
}",34454,798
gpt-oss:120b,direct_context,deepseek-r1:32b,36,list_or_lookup,False,ok,2,0,1,3,False,False,The answer omits Tier 1/2 companies Hitachi Astemo (row_id 75) and Hyundai & LG Energy Solution (LGES) (row_id 80) that also have General Automotive role.,"{
  ""faithfulness"": 2,
  ""completeness"": 0,
  ""correctness"": 1,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer omits Tier 1/2 companies Hitachi Astemo (row_id 75) and Hyundai & LG Energy Solution (LGES) (row_id 80) that also have General Automotive role.""
}",34619,2325
gpt-oss:120b,direct_context,deepseek-r1:32b,37,list_or_lookup,False,ok,0,0,0,0,False,False,"The answer incorrectly states only one thermal management supplier with employment 200, while the KB lists multiple such suppliers (e.g., Freudenberg-NOK, Peerless-Winsmith, Novelis Inc., Hyundai Transys) with different employment figures.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly states only one thermal management supplier with employment 200, while the KB lists multiple such suppliers (e.g., Freudenberg-NOK, Peerless-Winsmith, Novelis Inc., Hyundai Transys) with different employment figures.""
}",34398,609
gpt-oss:120b,direct_context,deepseek-r1:32b,38,list_or_lookup_judge_recommended,True,ok,2,2,2,6,False,False,Answer correctly lists all Georgia firms in the KB that recycle batteries or related materials.,"{
  ""faithfulness"": 2,
  ""completeness"": 2,
  ""correctness"": 2,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer correctly lists all Georgia firms in the KB that recycle batteries or related materials.""
}",34510,1064
gpt-oss:120b,direct_context,deepseek-r1:32b,39,list_or_lookup_judge_recommended,True,ok,0,2,0,2,True,False,"The answer misnames the supplier (""Remark International LLC"" does not exist in the KB; the correct R&D supplier is Racemark International LLC).","{
  ""faithfulness"": 0,
  ""completeness"": 2,
  ""correctness"": 0,
  ""hallucinated_company"": true,
  ""needs_human_review"": false,
  ""notes"": ""The answer misnames the supplier (\""Remark International LLC\"" does not exist in the KB; the correct R&D supplier is Racemark International LLC).""
}",34424,573
gpt-oss:120b,direct_context,deepseek-r1:32b,40,list_or_lookup_judge_recommended,True,ok,0,0,0,0,False,False,"The answer incorrectly claims only Duckyang qualifies and omits other suppliers (e.g., GSC Steel Stamping LLC, Racemark International, Hyundai Transys) that also list EV-native OEMs, making the claim unsupported and incomplete.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly claims only Duckyang qualifies and omits other suppliers (e.g., GSC Steel Stamping LLC, Racemark International, Hyundai Transys) that also list EV-native OEMs, making the claim unsupported and incomplete.""
}",34394,780
gpt-oss:120b,direct_context,deepseek-r1:32b,41,lookup,False,ok,0,0,0,0,False,False,"The answer incorrectly states no relevant data, ignoring Archer Aviation in Covington which provides chemical manufacturing infrastructure.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly states no relevant data, ignoring Archer Aviation in Covington which provides chemical manufacturing infrastructure.""
}",34382,400
gpt-oss:120b,direct_context,deepseek-r1:32b,42,list_or_lookup_judge_recommended,True,ok,0,0,0,0,False,False,"The answer incorrectly cites Trenton Pressing Inc. (row_id 158) as an R&D facility, but the KB shows it as a manufacturing plant; the only R&D automotive entry is Racemark International LLC in Gray, Jones County.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly cites Trenton Pressing Inc. (row_id 158) as an R&D facility, but the KB shows it as a manufacturing plant; the only R&D automotive entry is Racemark International LLC in Gray, Jones County.""
}",34423,535
gpt-oss:120b,direct_context,gemma3:27b,1,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer lists incorrect and incomplete entries, mislabels categories/roles, and omits many Tier 1/2 suppliers present in the knowledge base.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists incorrect and incomplete entries, mislabels categories/roles, and omits many Tier 1/2 suppliers present in the knowledge base.""
}",34645,2360
gpt-oss:120b,direct_context,gemma3:27b,2,list_or_lookup,False,ok,0,0,0,0,True,False,"The answer lists incorrect companies and roles, omits several valid Battery Cell/Pack firms, and includes non‑Battery entries.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": true,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists incorrect companies and roles, omits several valid Battery Cell/Pack firms, and includes non‑Battery entries.""
}",34488,900
gpt-oss:120b,direct_context,gemma3:27b,3,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer lists incorrect companies and omits the actual Thermal Management suppliers (Freudenberg-NOK, Peerless-Winsmith, Novelis Inc., Hyundai Transys Georgia Powertrain).","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists incorrect companies and omits the actual Thermal Management suppliers (Freudenberg-NOK, Peerless-Winsmith, Novelis Inc., Hyundai Transys Georgia Powertrain).""
}",34472,950
gpt-oss:120b,direct_context,gemma3:27b,4,list_or_lookup,False,ok,1,1,1,3,False,False,"Includes an irrelevant company (Suzuki Manufacturing) and omits a relevant one (Morgan Corp.), so partially faithful, incomplete, and partly correct.","{
  ""faithfulness"": 1,
  ""completeness"": 1,
  ""correctness"": 1,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Includes an irrelevant company (Suzuki Manufacturing) and omits a relevant one (Morgan Corp.), so partially faithful, incomplete, and partly correct.""
}",34434,3697
gpt-oss:120b,direct_context,gemma3:27b,5,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer lists companies not classified as Direct Manufacturer and omits several that are, failing both faithfulness and completeness.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists companies not classified as Direct Manufacturer and omits several that are, failing both faithfulness and completeness.""
}",34460,637
gpt-oss:120b,direct_context,gemma3:27b,6,list_or_lookup,False,ok,0,0,0,0,False,False,The answer invents a Calhoun location for Novelis and cites incorrect row IDs; the KB only lists Atlanta locations with Manufacturing Plant.,"{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer invents a Calhoun location for Novelis and cites incorrect row IDs; the KB only lists Atlanta locations with Manufacturing Plant.""
}",34468,729
gpt-oss:120b,direct_context,gemma3:27b,7,aggregation_ranking,False,ok,0,0,0,0,False,False,"The answer incorrectly identifies Arising Industries as the highest‑employment company in Gwinnett County (actual max is WIKA USA with 250,000 employees) and gives an incorrect EV Supply Chain Role.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly identifies Arising Industries as the highest‑employment company in Gwinnett County (actual max is WIKA USA with 250,000 employees) and gives an incorrect EV Supply Chain Role.""
}",34589,785
gpt-oss:120b,direct_context,gemma3:27b,8,aggregation_ranking,False,ok,0,0,0,0,False,False,"The answer misattributes companies to Hall County and omits many Tier 1 suppliers, resulting in an incorrect county and employment total.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer misattributes companies to Hall County and omits many Tier 1 suppliers, resulting in an incorrect county and employment total.""
}",34459,7914
gpt-oss:120b,direct_context,gemma3:27b,9,aggregation_ranking,False,ok,0,0,0,0,False,False,"The answer incorrectly identifies Hall County as highest and provides an inaccurate employment total, mis‑summing rows from other counties and omitting many relevant entries.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly identifies Hall County as highest and provides an inaccurate employment total, mis‑summing rows from other counties and omitting many relevant entries.""
}",34568,2273
gpt-oss:120b,direct_context,gemma3:27b,10,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer lists only three facilities, includes a non‑assembly company (row_id 195), mislabels row IDs, and omits many other Georgia entries with EV Supply Chain Role 'Vehicle Assembly'.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists only three facilities, includes a non‑assembly company (row_id 195), mislabels row IDs, and omits many other Georgia entries with EV Supply Chain Role 'Vehicle Assembly'.""
}",34436,808
gpt-oss:120b,direct_context,gemma3:27b,11,list_or_lookup,False,ok,0,0,0,0,False,False,The answer provides incorrect product/service information and cites wrong rows that do not correspond to Sewon America Inc.,"{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer provides incorrect product/service information and cites wrong rows that do not correspond to Sewon America Inc.""
}",34472,606
gpt-oss:120b,direct_context,gemma3:27b,12,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer lists many Tier 2/3 companies that are not directly involved in EV/battery supply and omits correct ones, with several category mismatches.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer lists many Tier 2/3 companies that are not directly involved in EV/battery supply and omits correct ones, with several category mismatches.""
}",34683,1279
