model,kind,question_number,qtype,needs_human,gold_count,status,gradable,precision,recall,f1,pred_count,count_error,missing,extra,hallucinated_mentions,scalar_ok
qwen3.6_35b-a3b (full-ctx),main,34,aggregation_rank,True,0,needs_human,False,,,,11,,,,,
qwen3.6_35b-a3b (full-ctx),main,35,count,False,6,answered,True,0.833,0.833,0.833,6,0,1,1,,
qwen3.6_35b-a3b (full-ctx),main,36,interpretation,True,0,needs_human,False,,,,0,,,,,
qwen3.6_35b-a3b (full-ctx),main,37,list,False,1,answered,True,1.0,1.0,1.0,1,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,38,multi_filter,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,39,aggregation_rank,False,3,answered,True,0.5,1.0,0.667,6,3,0,3,,
qwen3.6_35b-a3b (full-ctx),main,40,list,False,7,answered,True,0.667,0.857,0.75,9,,1,3,,
qwen3.6_35b-a3b (full-ctx),main,41,interpretation,True,0,needs_human,False,,,,6,,,,,
qwen3.6_35b-a3b (full-ctx),main,42,aggregation,True,0,needs_human,False,,,,7,,,,,
qwen3.6_35b-a3b (full-ctx),main,43,list,False,3,answered,True,1.0,0.667,0.8,2,,1,0,,
qwen3.6_35b-a3b (full-ctx),main,44,interpretation,True,0,needs_human,False,,,,1,,,,,
qwen3.6_35b-a3b (full-ctx),main,45,interpretation,True,0,needs_human,False,,,,0,,,,,
qwen3.6_35b-a3b (full-ctx),main,46,interpretation,True,0,needs_human,False,,,,1,,,,,
qwen3.6_35b-a3b (full-ctx),main,47,interpretation,True,0,needs_human,False,,,,4,,,,,
qwen3.6_35b-a3b (full-ctx),main,48,interpretation,True,0,needs_human,False,,,,69,,,,,
qwen3.6_35b-a3b (full-ctx),main,49,aggregation,False,2,answered,True,0.5,1.0,0.667,4,2,0,2,,
qwen3.6_35b-a3b (full-ctx),main,50,aggregation,False,1,answered,True,0.0,0.0,0.0,0,-1,1,0,,
mistral-small3.2_24b (full-ctx),main,1,list,False,18,answered,True,0.183,0.944,0.306,93,,1,76,,
mistral-small3.2_24b (full-ctx),main,2,multi_filter,False,6,answered,True,0.625,0.833,0.714,8,,1,3,,
mistral-small3.2_24b (full-ctx),main,3,list,False,4,answered,True,0.286,0.5,0.364,7,,2,5,,
mistral-small3.2_24b (full-ctx),main,4,list,False,2,answered,True,0.0,0.0,0.0,0,,2,0,,
mistral-small3.2_24b (full-ctx),main,5,list,True,0,needs_human,False,,,,8,,,,,
mistral-small3.2_24b (full-ctx),main,6,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
mistral-small3.2_24b (full-ctx),main,7,aggregation,False,1,answered,True,0.0,0.0,0.0,1,0,1,1,,
mistral-small3.2_24b (full-ctx),main,8,aggregation,False,0,answered,True,,,,16,,,,,False
mistral-small3.2_24b (full-ctx),main,9,aggregation,False,0,answered,True,,,,0,,,,,False
mistral-small3.2_24b (full-ctx),main,10,list,False,10,answered,True,0.562,0.9,0.692,16,,1,7,,
mistral-small3.2_24b (full-ctx),main,11,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
mistral-small3.2_24b (full-ctx),main,12,multi_filter,False,37,answered,True,0.2,0.081,0.115,15,,34,12,,
mistral-small3.2_24b (full-ctx),main,13,multi_filter,False,6,answered,True,0.0,0.0,0.0,0,,6,0,,
mistral-small3.2_24b (full-ctx),main,14,list,False,3,answered,True,0.0,0.0,0.0,0,,3,0,,
mistral-small3.2_24b (full-ctx),main,15,list,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,16,multi_filter,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,17,list,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,18,multi_filter,False,0,answered,True,1.0,1.0,1.0,0,,0,0,,
mistral-small3.2_24b (full-ctx),main,19,list,False,1,answered,True,0.0,0.0,0.0,0,,1,0,,
mistral-small3.2_24b (full-ctx),main,20,multi_filter,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,21,multi_filter,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,22,list,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,23,list,False,1,answered,True,0.333,1.0,0.5,3,,0,2,,
mistral-small3.2_24b (full-ctx),main,24,multi_filter,True,0,needs_human,False,,,,6,,,,,
mistral-small3.2_24b (full-ctx),main,25,multi_filter,False,8,answered,True,0.034,0.75,0.066,175,,2,169,,
mistral-small3.2_24b (full-ctx),main,26,multi_filter,False,2,answered,True,0.667,1.0,0.8,3,,0,1,,
mistral-small3.2_24b (full-ctx),main,27,aggregation_rank,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,28,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,29,count,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,30,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,31,multi_filter,False,11,answered,True,0.057,1.0,0.108,193,,0,182,,
mistral-small3.2_24b (full-ctx),main,32,multi_filter,False,3,answered,True,0.0,0.0,0.0,0,,3,0,,
mistral-small3.2_24b (full-ctx),main,33,list,False,25,answered,True,0.0,0.0,0.0,0,,25,0,,
mistral-small3.2_24b (full-ctx),main,34,aggregation_rank,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,35,count,False,6,answered,True,0.667,0.333,0.444,3,-3,4,1,,
mistral-small3.2_24b (full-ctx),main,36,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,37,list,False,1,answered,True,0.0,0.0,0.0,0,,1,0,,
mistral-small3.2_24b (full-ctx),main,38,multi_filter,False,3,answered,True,0.0,0.0,0.0,0,,3,0,,
mistral-small3.2_24b (full-ctx),main,39,aggregation_rank,False,3,answered,True,0.0,0.0,0.0,0,-3,3,0,,
mistral-small3.2_24b (full-ctx),main,40,list,False,7,answered,True,0.8,0.571,0.667,5,,3,1,,
mistral-small3.2_24b (full-ctx),main,41,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,42,aggregation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,43,list,False,3,answered,True,0.0,0.0,0.0,0,,3,0,,
mistral-small3.2_24b (full-ctx),main,44,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,45,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,46,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,47,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,48,interpretation,True,0,needs_human,False,,,,0,,,,,
mistral-small3.2_24b (full-ctx),main,49,aggregation,False,2,answered,True,0.0,0.0,0.0,0,-2,2,0,,
mistral-small3.2_24b (full-ctx),main,50,aggregation,False,1,answered,True,0.0,0.0,0.0,0,-1,1,0,,
gemma3_27b (full-ctx),main,1,list,False,18,answered,True,0.077,0.111,0.091,26,,16,24,,
gemma3_27b (full-ctx),main,2,multi_filter,False,6,answered,True,0.25,0.167,0.2,4,,5,3,,
gemma3_27b (full-ctx),main,3,list,False,4,answered,True,0.167,0.25,0.2,6,,3,5,,
gemma3_27b (full-ctx),main,4,list,False,2,answered,True,0.0,0.0,0.0,7,,2,7,,
gemma3_27b (full-ctx),main,5,list,True,0,needs_human,False,,,,7,,,,,
gemma3_27b (full-ctx),main,6,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
gemma3_27b (full-ctx),main,7,aggregation,False,1,answered,True,1.0,1.0,1.0,1,0,0,0,,
gemma3_27b (full-ctx),main,8,aggregation,False,0,answered,True,,,,10,,,,,False
gemma3_27b (full-ctx),main,9,aggregation,False,0,answered,True,,,,5,,,,,False
gemma3_27b (full-ctx),main,10,list,False,10,answered,True,1.0,0.6,0.75,6,,4,0,,
gemma3_27b (full-ctx),main,11,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
gemma3_27b (full-ctx),main,12,multi_filter,False,37,answered,True,0.271,0.351,0.306,48,,24,35,,
gemma3_27b (full-ctx),main,13,multi_filter,False,6,answered,True,0.083,0.333,0.133,24,,4,22,,
gemma3_27b (full-ctx),main,14,list,False,3,answered,True,0.2,0.333,0.25,5,,2,4,,
gemma3_27b (full-ctx),main,15,list,True,0,needs_human,False,,,,3,,,,,
gemma3_27b (full-ctx),main,16,multi_filter,True,0,needs_human,False,,,,9,,,,,
gemma3_27b (full-ctx),main,17,list,True,0,needs_human,False,,,,3,,,,,
gemma3_27b (full-ctx),main,18,multi_filter,False,0,answered,True,0.0,0.0,0.0,11,,0,11,,
gemma3_27b (full-ctx),main,19,list,False,1,answered,True,0.5,1.0,0.667,2,,0,1,,
gemma3_27b (full-ctx),main,20,multi_filter,True,0,needs_human,False,,,,20,,,,,
gemma3_27b (full-ctx),main,21,multi_filter,True,0,needs_human,False,,,,8,,,,,
gemma3_27b (full-ctx),main,22,list,True,0,needs_human,False,,,,8,,,,,
gemma3_27b (full-ctx),main,23,list,False,1,answered,True,0.25,1.0,0.4,4,,0,3,,
gemma3_27b (full-ctx),main,24,multi_filter,True,0,needs_human,False,,,,9,,,,,
gemma3_27b (full-ctx),main,25,multi_filter,False,8,answered,True,0.041,0.25,0.07,49,,6,47,,
gemma3_27b (full-ctx),main,26,multi_filter,False,2,answered,True,0.286,1.0,0.444,7,,0,5,,
gemma3_27b (full-ctx),main,27,aggregation_rank,True,0,needs_human,False,,,,0,,,,,
gemma3_27b (full-ctx),main,28,interpretation,True,0,needs_human,False,,,,5,,,,,
gemma3_27b (full-ctx),main,29,count,True,0,ERROR,False,,,,,,,,,
gemma3_27b (full-ctx),main,30,interpretation,True,0,needs_human,False,,,,32,,,,,
gemma3_27b (full-ctx),main,31,multi_filter,False,11,answered,True,0.05,0.636,0.093,140,,4,133,,
gemma3_27b (full-ctx),main,32,multi_filter,False,3,answered,True,0.0,0.0,0.0,9,,3,9,,
gemma3_27b (full-ctx),main,33,list,False,25,answered,True,0.552,0.64,0.593,29,,9,13,,
gemma3_27b (full-ctx),main,34,aggregation_rank,True,0,needs_human,False,,,,11,,,,,
gemma3_27b (full-ctx),main,35,count,False,6,answered,True,0.143,0.167,0.154,7,1,5,6,,
gemma3_27b (full-ctx),main,36,interpretation,True,0,needs_human,False,,,,22,,,,,
gemma3_27b (full-ctx),main,37,list,False,1,answered,True,0.0,0.0,0.0,8,,1,8,,
gemma3_27b (full-ctx),main,38,multi_filter,False,3,answered,True,0.091,0.333,0.143,11,,2,10,,
gemma3_27b (full-ctx),main,39,aggregation_rank,False,3,answered,True,0.0,0.0,0.0,5,2,3,5,,
gemma3_27b (full-ctx),main,40,list,False,7,answered,True,0.4,0.571,0.471,10,,3,6,,
gemma3_27b (full-ctx),main,41,interpretation,True,0,needs_human,False,,,,36,,,,,
gemma3_27b (full-ctx),main,42,aggregation,True,0,needs_human,False,,,,12,,,,,
gemma3_27b (full-ctx),main,43,list,False,3,answered,True,0.25,0.333,0.286,4,,2,3,,
gemma3_27b (full-ctx),main,44,interpretation,True,0,needs_human,False,,,,9,,,,,
gemma3_27b (full-ctx),main,45,interpretation,True,0,needs_human,False,,,,7,,,,,
gemma3_27b (full-ctx),main,46,interpretation,True,0,needs_human,False,,,,0,,,,,
gemma3_27b (full-ctx),main,47,interpretation,True,0,needs_human,False,,,,0,,,,,
gemma3_27b (full-ctx),main,48,interpretation,True,0,needs_human,False,,,,0,,,,,
gemma3_27b (full-ctx),main,49,aggregation,False,2,answered,True,0.0,0.0,0.0,0,-2,2,0,,
gemma3_27b (full-ctx),main,50,aggregation,False,1,answered,True,0.0,0.0,0.0,0,-1,1,0,,
qwen2.5_14b (batched v1),main,1,list,False,18,answered,True,1.0,1.0,1.0,18,,0,0,,
qwen2.5_14b (batched v1),main,2,multi_filter,False,6,answered,True,0.857,1.0,0.923,7,,0,1,,
qwen2.5_14b (batched v1),main,3,list,False,4,answered,True,0.4,1.0,0.571,10,,0,6,,
qwen2.5_14b (batched v1),main,4,list,False,2,answered,True,0.25,1.0,0.4,8,,0,6,,
qwen2.5_14b (batched v1),main,5,list,True,0,needs_human,False,,,,10,,,,,
qwen2.5_14b (batched v1),main,6,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen2.5_14b (batched v1),main,7,aggregation,False,1,answered,True,0.042,1.0,0.08,24,23,0,23,,
qwen2.5_14b (batched v1),main,8,aggregation,False,0,answered,True,,,,91,,,,,False
qwen2.5_14b (batched v1),main,9,aggregation,False,0,answered,True,,,,8,,,,,False
qwen2.5_14b (batched v1),main,10,list,False,10,answered,True,0.9,0.9,0.9,10,,1,1,,
qwen2.5_14b (batched v1),main,11,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen2.5_14b (batched v1),main,12,multi_filter,False,37,answered,True,0.882,0.405,0.556,17,,22,2,,
qwen2.5_14b (batched v1),main,13,multi_filter,False,6,answered,True,0.056,0.667,0.103,72,,2,68,,
qwen2.5_14b (batched v1),main,14,list,False,3,answered,True,0.176,1.0,0.3,17,,0,14,,
qwen2.5_14b (batched v1),main,15,list,True,0,needs_human,False,,,,3,,,,,
qwen2.5_14b (batched v1),main,16,multi_filter,True,0,needs_human,False,,,,5,,,,,
qwen2.5_14b (batched v1),main,17,list,True,0,needs_human,False,,,,7,,,,,
qwen2.5_14b (batched v1),main,18,multi_filter,False,0,answered,True,1.0,1.0,1.0,0,,0,0,,
qwen2.5_14b (batched v1),main,19,list,False,1,answered,True,0.2,1.0,0.333,5,,0,4,,
qwen2.5_14b (batched v1),main,20,multi_filter,True,0,needs_human,False,,,,4,,,,,
qwen2.5_14b (batched v1),main,21,multi_filter,True,0,needs_human,False,,,,39,,,,,
qwen2.5_14b (batched v1),main,22,list,True,0,needs_human,False,,,,16,,,,,
qwen2.5_14b (batched v1),main,23,list,False,1,answered,True,0.091,1.0,0.167,11,,0,10,,
qwen2.5_14b (batched v1),main,24,multi_filter,True,0,needs_human,False,,,,7,,,,,
qwen2.5_14b (batched v1),main,25,multi_filter,False,8,answered,True,0.583,0.875,0.7,12,,1,5,,
qwen2.5_14b (batched v1),main,26,multi_filter,False,2,answered,True,0.667,1.0,0.8,3,,0,1,,
qwen2.5_14b (batched v1),main,27,aggregation_rank,True,0,needs_human,False,,,,64,,,,,
qwen2.5_14b (batched v1),main,28,interpretation,True,0,needs_human,False,,,,7,,,,,
qwen2.5_14b (batched v1),main,29,count,True,0,needs_human,False,,,,98,,,,,
qwen2.5_14b (batched v1),main,30,interpretation,True,0,needs_human,False,,,,26,,,,,
qwen2.5_14b (batched v1),main,31,multi_filter,False,11,answered,True,0.161,0.909,0.274,62,,1,52,,
qwen2.5_14b (batched v1),main,32,multi_filter,False,3,answered,True,0.333,1.0,0.5,9,,0,6,,
qwen2.5_14b (batched v1),main,33,list,False,25,answered,True,0.917,0.88,0.898,24,,3,2,,
qwen2.5_14b (batched v1),main,34,aggregation_rank,True,0,needs_human,False,,,,9,,,,,
qwen2.5_14b (batched v1),main,35,count,False,6,answered,True,0.267,0.667,0.381,15,9,2,11,,
qwen2.5_14b (batched v1),main,36,interpretation,True,0,needs_human,False,,,,9,,,,,
qwen2.5_14b (batched v1),main,37,list,False,1,answered,True,0.111,1.0,0.2,9,,0,8,,
qwen2.5_14b (batched v1),main,38,multi_filter,False,3,answered,True,0.5,0.667,0.571,4,,1,2,,
qwen2.5_14b (batched v1),main,39,aggregation_rank,False,3,answered,True,0.3,1.0,0.462,10,7,0,7,,
qwen2.5_14b (batched v1),main,40,list,False,7,answered,True,0.438,1.0,0.609,16,,0,9,,
qwen2.5_14b (batched v1),main,41,interpretation,True,0,needs_human,False,,,,61,,,,,
qwen2.5_14b (batched v1),main,42,aggregation,True,0,needs_human,False,,,,35,,,,,
qwen2.5_14b (batched v1),main,43,list,False,3,answered,True,0.75,1.0,0.857,4,,0,1,,
qwen2.5_14b (batched v1),main,44,interpretation,True,0,needs_human,False,,,,36,,,,,
qwen2.5_14b (batched v1),main,45,interpretation,True,0,needs_human,False,,,,16,,,,,
qwen2.5_14b (batched v1),main,46,interpretation,True,0,needs_human,False,,,,139,,,,,
qwen2.5_14b (batched v1),main,47,interpretation,True,0,needs_human,False,,,,22,,,,,
qwen2.5_14b (batched v1),main,48,interpretation,True,0,needs_human,False,,,,84,,,,,
qwen2.5_14b (batched v1),main,49,aggregation,False,2,answered,True,0.019,0.5,0.036,54,52,1,53,,
qwen2.5_14b (batched v1),main,50,aggregation,False,1,answered,True,0.0,0.0,0.0,5,4,1,5,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,1,list,False,18,answered,True,0.0,0.0,0.0,8,,18,8,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,2,multi_filter,False,6,answered,True,0.029,0.167,0.049,35,,5,34,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,3,list,False,4,answered,True,0.333,0.25,0.286,3,,3,2,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,4,list,False,2,answered,True,0.0,0.0,0.0,15,,2,15,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,5,list,True,0,needs_human,False,,,,8,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,6,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,7,aggregation,False,1,answered,True,0.0,0.0,0.0,4,3,1,4,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,8,aggregation,False,0,answered,True,,,,40,,,,,True
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,9,aggregation,False,0,answered,True,,,,16,,,,,True
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,10,list,False,10,answered,True,0.556,0.5,0.526,9,,5,4,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,11,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,12,multi_filter,False,37,answered,True,0.083,0.027,0.041,12,,36,11,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,13,multi_filter,False,6,answered,True,0.0,0.0,0.0,36,,6,36,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,14,list,False,3,answered,True,0.0,0.0,0.0,9,,3,9,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,15,list,True,0,needs_human,False,,,,1,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,16,multi_filter,True,0,needs_human,False,,,,5,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,17,list,True,0,needs_human,False,,,,2,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,18,multi_filter,False,0,answered,True,0.0,0.0,0.0,5,,0,5,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,19,list,False,1,answered,True,0.0,0.0,0.0,1,,1,1,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,20,multi_filter,True,0,needs_human,False,,,,5,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,21,multi_filter,True,0,needs_human,False,,,,18,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,22,list,True,0,needs_human,False,,,,10,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,23,list,False,1,answered,True,0.0,0.0,0.0,1,,1,1,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,24,multi_filter,True,0,needs_human,False,,,,3,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,25,multi_filter,False,8,answered,True,0.0,0.0,0.0,2,,8,2,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,26,multi_filter,False,2,answered,True,0.0,0.0,0.0,1,,2,1,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,27,aggregation_rank,True,0,needs_human,False,,,,18,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,28,interpretation,True,0,needs_human,False,,,,3,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,29,count,True,0,needs_human,False,,,,7,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,30,interpretation,True,0,needs_human,False,,,,1,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,31,multi_filter,False,11,answered,True,0.0,0.0,0.0,36,,11,36,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,32,multi_filter,False,3,answered,True,0.5,0.333,0.4,2,,2,1,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,33,list,False,25,answered,True,0.957,0.88,0.917,23,,3,1,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,34,aggregation_rank,True,0,needs_human,False,,,,8,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,35,count,False,6,answered,True,0.0,0.0,0.0,4,-2,6,4,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,36,interpretation,True,0,needs_human,False,,,,11,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,37,list,False,1,answered,True,0.0,0.0,0.0,7,,1,7,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,38,multi_filter,False,3,answered,True,0.0,0.0,0.0,11,,3,11,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,39,aggregation_rank,False,3,answered,True,0.0,0.0,0.0,5,2,3,5,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,40,list,False,7,answered,True,0.5,0.571,0.533,8,,3,4,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,41,interpretation,True,0,needs_human,False,,,,8,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,42,aggregation,True,0,needs_human,False,,,,4,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,43,list,False,3,answered,True,0.0,0.0,0.0,1,,3,1,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,44,interpretation,True,0,needs_human,False,,,,2,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,45,interpretation,True,0,needs_human,False,,,,9,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,46,interpretation,True,0,needs_human,False,,,,7,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,47,interpretation,True,0,needs_human,False,,,,15,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,48,interpretation,True,0,needs_human,False,,,,19,,,,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,49,aggregation,False,2,answered,True,0.0,0.0,0.0,9,7,2,9,,
qwen2.5_14b (full-ctx TRUNCATED),diagnostic_truncated,50,aggregation,False,1,answered,True,0.5,1.0,0.667,2,1,0,1,,
deepseek-r1_32b (unstable),diagnostic_unstable,1,list,False,18,answered,True,0.5,0.056,0.1,2,,17,1,,
deepseek-r1_32b (unstable),diagnostic_unstable,2,multi_filter,False,6,answered,True,0.667,0.333,0.444,3,,4,1,,
deepseek-r1_32b (unstable),diagnostic_unstable,3,list,False,4,answered,True,0.333,0.25,0.286,3,,3,2,,
deepseek-r1_32b (unstable),diagnostic_unstable,4,list,False,2,answered,True,0.0,0.0,0.0,3,,2,3,,
deepseek-r1_32b (unstable),diagnostic_unstable,5,list,True,0,needs_human,False,,,,9,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,6,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
