question_number,qtype,needs_human,gold_count,gold_row_ids,gold_companies,output_fields,answer_value,note
11,lookup,False,3,"[159, 160, 161]","[""Sewon America Inc."", ""Sewon America Inc."", ""Sewon America Inc.""]",Location; Product / Service,,
12,multi_filter,False,37,"[1, 2, 8, 10, 13, 14, 16, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 37, 40, 43, 44, 45, 46, 47, 49, 51, 58, 60, 62, 63, 64, 69, 70, 74, 170]","[""ACM Georgia LLC"", ""Adient"", ""Archer Aviation Inc."", ""Arising Industries Inc."", ""Aurubis"", ""AVS"", ""Big Tex Trailer Manufacturing Inc."", ""Blue Ridge Manufacturing"", ""Bosch (Automotive Division)"", ""Bridgestone Bandag"", ""Carcoustics USA"", ""Club Car LLC"", ""Constellium Automotive USA"", ""Continental Automotive"", ""Continental Tire the Americas LLC"", ""DaeChang Seat Company"", ""DAEHAN Solution Georgia LLC"", ""Daesol Ausys"", ""DAS Corp."", ""Denkai America"", ""Dinex Emissions Inc."", ""Down 2 Earth Trailers"", ""Duckyang"", ""Eaton Corp."", ""Ecoplastic America Corporation"", ""Ecoplastic Corporation"", ""Enchem America Inc."", ""Erdrich USA Inc."", ""FOX Factory"", ""Freudenberg-NOK"", ""GEDIA Georgia LLC"", ""Global Powertrain Systems LLC"", ""GLOVIS Georgia LLC"", ""GSC Steel Stamping LLC"", ""Haering Precision USA LP"", ""HEXPOL Compounding Corp."", ""SungEel Recycling Park Georgia""]",Company; EV Supply Chain Role,,"SEMI: 'primary involvement in EV/battery' approximated by EV-relevant in {Yes,Indirect}."
13,multi_filter,False,6,"[44, 49, 69, 84, 150, 172]","[""Duckyang"", ""Enchem America Inc."", ""GSC Steel Stamping LLC"", ""Hyundai Transys Georgia Powertrain"", ""Racemark International LLC"", ""Suzuki Manufacturing of America Corp.""]",Company; Category; EV Supply Chain Role,,
14,list,False,3,"[44, 77, 86]","[""Duckyang"", ""Hollingsworth & Vose Co."", ""IMMI""]",Company; Category,,SEMI: substring on Product/Service; confirm by hand.
15,list,True,0,[],[],Company; Primary OEMs,,Substring 'wiring harness' on Product/Service or role; confirm scope.
16,multi_filter,True,0,[],[],Company,,Tier 1/Tier 1/2 AND electrolyte/li-ion materials AND 'existing OEM contracts' (OEM contract is not a discrete field; needs human judgment).
17,list,True,0,[],[],Company,,high-voltage wiring harness / EV electrical distribution 'suitable for BEV' is interpretive.
18,multi_filter,False,0,[],[],Company; Industry Group,,
19,list,False,1,[44],"[""Duckyang""]",Company; Product / Service,,
20,multi_filter,True,0,[],[],Company,,Tier 1/2 AND engineered plastics/polymers/composite applicable to EV structural/thermal (applicability is interpretive).
21,multi_filter,True,0,[],[],Company,,Hyundai/Kia in Primary OEMs AND 'could be expanded' (interpretive).
22,list,True,0,[],[],Company; Category,,DC-to-DC/capacitors/power electronics relevant to drivetrains (interpretive scope).
23,list,False,1,[8],"[""Archer Aviation Inc.""]",Company; Category,,
24,multi_filter,True,0,[],[],Company; Primary OEMs,,battery parts/enclosure AND Tier 1/2 AND 'ready for OEM engagement' (interpretive).
25,multi_filter,False,8,"[1, 10, 14, 40, 41, 56, 58, 68]","[""ACM Georgia LLC"", ""Arising Industries Inc."", ""AVS"", ""Dinex Emissions Inc."", ""Dongwon Autopart Technology Georgia LLC"", ""Flambeau Inc."", ""FOX Factory"", ""Grudem""]",Company; Employment,,
26,multi_filter,False,2,"[8, 9]","[""Archer Aviation Inc."", ""Arising Industries Inc.""]",Company; Product / Service,,
27,aggregation_rank,True,0,[],[],EV Supply Chain Role(s),,Roles served by exactly one company; messy free-form role values must be canonicalized first.
28,interpretation,True,0,[],[],Company; OEM,,'sole-sourced by a specific OEM' / 'high dependency risk' is interpretive.
29,count,True,0,[],[],count,,Define 'Hyundai Metaplant supplier' (Primary OEMs ~ Hyundai?) AND EV component AND Employment<200.
30,interpretation,True,0,[],[],Company,,Tier 2/3 AND EV-relevant AND General Automotive AND 'provide materials to battery' (interpretive link).
31,multi_filter,False,11,"[57, 75, 79, 80, 81, 82, 85, 87, 88, 89, 90]","[""Fouts Brothers Fire Equipment"", ""Hitachi Astemo"", ""Hwashin"", ""Hyundai & LG Energy Solution (LGES)"", ""Hyundai Industrial Co."", ""Hyundai MOBIS (Georgia)"", ""Hyundai Transys Georgia Seating Systems"", ""IMS Gear Georgia Inc."", ""Inalfa Roof Systems Inc."", ""JAC Products Inc."", ""Jefferson Southern Corp.""]",Company; Primary OEMs,,
32,multi_filter,False,3,"[60, 84, 139]","[""Freudenberg-NOK"", ""Hyundai Transys Georgia Powertrain"", ""Peerless-Winsmith Inc.""]",Company; Employment,,
33,list,False,25,"[181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205]","[""TI Fluid Systems"", ""Tie Down Engineering"", ""TN Americas Holding Inc."", ""Toyota Industries Group (TACG-TICA)"", ""Trenton Pressing"", ""Trenton Pressing Inc."", ""Valeo"", ""Vanguard National Trailer Corp."", ""Vernay"", ""Vista Metals Corp."", ""Voestalpine Automotive Body Parts Inc."", ""Volvo Cars USA"", ""Volvo Group North America"", ""Wabash National Corp."", ""Wheelabrator Group Inc."", ""WIKA USA"", ""Woodbridge Foam Corp."", ""Woory Industrial Co."", ""Yachiyo Manufacturing of America LLC"", ""Yamaha Motor Manufacturing Corp."", ""Yazaki North America"", ""YKK USA Inc."", ""ZF Gainesville LLC"", ""ZF Gainesville LLC"", ""ZF Gainesville LLC""]",Company; Category,,"EV-relevant taken as EV/Battery Relevant in {Yes, Indirect}."
34,aggregation_rank,True,0,[],[],top 10 companies; Employment,,'supply BOTH General Automotive AND EV-specific' is interpretive; then top-10 by Employment.
35,count,False,6,"[53, 76, 77, 78, 83, 86]","[""F&P Georgia Manufacturing"", ""Hitachi Astemo Americas Inc."", ""Hollingsworth & Vose Co."", ""Honda Development & Manufacturing"", ""Hyundai Motor Group"", ""IMMI""]",count of companies,,SEMI: union of role and product substrings; confirm by hand.
36,interpretation,True,0,[],[],Company,,Tier 2/3 AND lightweight aluminum/composite AND 'growing EV customer base' (interpretive).
37,list,False,1,[69],"[""GSC Steel Stamping LLC""]",Company; Product / Service,,
38,multi_filter,False,3,"[173, 176, 177]","[""TCI Powder Coatings"", ""Teklas USA"", ""Textron Specialized Vehicles""]",Company; Employment,,'Indirectly Relevant' mapped to EV/Battery Relevant == Indirect.
39,aggregation_rank,False,3,"[129, 60, 139]","[""Freudenberg-NOK"", ""Novelis Inc."", ""Peerless-Winsmith Inc.""]",Company; Employment (top 3),,Ordered top-3 by Employment; ranking matters.
40,list,False,7,"[60, 84, 129, 139, 203, 204, 205]","[""Freudenberg-NOK"", ""Hyundai Transys Georgia Powertrain"", ""Novelis Inc."", ""Peerless-Winsmith Inc."", ""ZF Gainesville LLC"", ""ZF Gainesville LLC"", ""ZF Gainesville LLC""]",Company; EV Supply Chain Role; Primary Facility Type,,SEMI: thermal substring on product OR role.
41,interpretation,True,0,[],[],Company,,Tier 1/2 General Automotive 'suggesting gradual EV evolution' (interpretive).
42,aggregation,True,0,[],[],count; employment summary,,Aggregate count + employment of Thermal Management suppliers; phrasing is open-ended.
43,list,False,3,"[50, 52, 53]","[""Enplas USA Inc."", ""EVCO Plastics"", ""F&P Georgia Manufacturing""]",Company; Product / Service,,
44,interpretation,True,0,[],[],Company,,"'innovation-stage roles through R&D/prototyping' — substring 'R&D/prototyp/research' on facility/product, but interpretive."
45,interpretation,True,0,[],[],Company,,traditional OEM AND EV-native OEM in Primary OEMs (dual-platform); needs OEM taxonomy.
46,interpretation,True,0,[],[],area,,areas lacking Battery Cell/Pack but having Tier 1 general auto (areal aggregation + interpretation).
47,interpretation,True,0,[],[],area,,areas with highest concentration of Materials-category suppliers (areal aggregation).
48,interpretation,True,0,[],[],area,,"areas with Manufacturing Plant facilities indirectly supplying EV, no dedicated EV (interpretive)."
49,aggregation,False,2,"[8, 9]","[""Archer Aviation Inc."", ""Arising Industries Inc.""]",Location/area,,SEMI: chemical infrastructure via Industry Group == Chemicals and Allied Products.
50,aggregation,False,1,[150],"[""Racemark International LLC""]",Location/area; facility=R&D,,
