question_number,question_type,judge_recommended,gold_count,gold_company_count,mean_entity_f1,models_with_count_match,models_scored_for_count,best_model_by_entity_f1,question
38,list_or_lookup_judge_recommended,True,2,2,0.4191,1,7,direct_context::qwen3.6:35b-a3b,"Which Georgia companies are involved in battery recycling or second-life battery processing, reflecting the emerging circular economy trend?"
21,list_multi_filter,False,5,5,0.4273,1,7,direct_context::qwen3:30b,Find Tier 2/3 Georgia-based suppliers with employment over 300 that are classified as General Automotive but produce components transferable to EV platforms.
15,list_or_lookup_judge_recommended,True,0,0,0.4286,4,7,direct_context::mistral-small3.2:24b,Identify Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics.
31,list_or_lookup,False,7,7,0.4309,2,7,direct_context::qwen3:30b,Which Georgia Tier 2/3 suppliers currently produce lightweight aluminum or composite materials and are ev relevant or indirectly ev relevant?
40,list_or_lookup_judge_recommended,True,5,5,0.4386,1,7,direct_context::qwen3.6:35b-a3b,"Which Georgia suppliers currently serving traditional OEMs are also linked to EV-native OEMs, showing dual-platform supply capability?"
27,list_multi_filter,False,11,11,0.44,1,7,direct_context::qwen3.6:35b-a3b,Identify all Georgia-based Tier 1/2 automotive suppliers that maintain a diversified customer base (serving 'Multiple OEMs').
12,list_multi_filter,False,3,3,0.4541,2,7,direct_context::qwen3.6:35b-a3b,List all Tier 2/3 companies in Georgia with primary involvement in the electric vehicle or battery supply chain and specify their respective roles.
18,list_or_lookup,False,5,5,0.4557,2,7,direct_context::qwen3.6:35b-a3b,"Identify Georgia companies producing DC-to-DC converters, capacitors, or power electronics components and what tier is each assigned?"
33,list_or_lookup_judge_recommended,True,3,3,0.4796,2,7,direct_context::qwen3.6:35b-a3b,"Which Georgia automotive companies employ over 1,000 workers but are currently categorized as only ""Indirectly Relevant"" to the EV sector, indicating a massive workforce pool ready for a strategic pivot?"
4,list_or_lookup,False,4,4,0.498,0,7,direct_context::mistral-small3.2:24b,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size."
34,aggregation_ranking,False,4,4,0.5119,5,7,direct_context::qwen3.6:35b-a3b,"Which four Georgia companies have the largest employment in EV thermal management, and how many employees does each have?"
28,list_or_lookup,False,3,3,0.5224,3,7,direct_context::qwen3.6:35b-a3b,Identify Georgia companies in the Thermal Management or Power Electronics role with fewer than 200 employees - their small scale may limit surge production capacity.
13,list_or_lookup,False,,6,0.5427,0,0,direct_context::qwen3.6:35b-a3b,"Show the full supplier network linked to Rivian Automotive in Georgia, broken down by tier and EV Supply Chain Role."
24,list_or_lookup_judge_recommended,True,6,6,0.5489,1,7,direct_context::qwen3.6:35b-a3b,"Which Georgia Battery Cell or Battery Pack suppliers are sole-sourced by a specific OEM, indicating high dependency risk?"
10,list_multi_filter,False,10,10,0.5508,1,7,direct_context::qwen3:30b,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.
37,list_or_lookup,False,5,5,0.5516,0,7,direct_context::qwen3.6:35b-a3b,How is demand for thermal management solutions reflected in the number and employment size of Georgia Thermal Management suppliers?
3,list_multi_filter,False,5,5,0.5635,0,7,direct_context::qwen3.6:35b-a3b,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.
19,list_or_lookup,False,1,1,0.5882,3,7,direct_context::deepseek-r1:32b,"Which Georgia companies provide powder coating-related products or services, and what tier are they classified under?"
1,list_multi_filter,False,18,18,0.5977,1,7,direct_context::qwen3.6:35b-a3b,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service."
36,list_or_lookup,False,11,11,0.6472,1,7,direct_context::qwen3.6:35b-a3b,Which Tier 1/2 Georgia companies listed under General Automotive?
35,list_multi_filter,False,5,5,0.6725,0,7,batchwise_map_reduce::gemma3:12b,"Which companies are involved in thermal-related products or services, and what roles and facility types are they associated with?"
20,list_or_lookup,False,6,6,0.6726,2,7,batchwise_map_reduce::gemma3:12b,"Which Georgia companies are classified under Battery Cell/Battery Pack roles or battery-related products and are Tier 1/2, making them ready for direct OEM engagement and show which Primary OEMs they are linked to."
16,list_multi_filter_judge_recommended,True,1,1,0.7238,4,7,direct_context::deepseek-r1:32b,Find Georgia-based companies that manufacture copper foil or electrodeposited materials suitable for EV battery current collectors.
22,list_or_lookup,False,2,2,0.7313,4,7,direct_context::qwen3.6:35b-a3b,Identify Georgia Tier 2/3 companies in the Chemicals and Allied Products industry group and list their products.
29,list_or_lookup,False,23,23,0.7399,1,7,direct_context::deepseek-r1:32b,Identify any EV-relevant Georgia companies classified as OEM Footprint or OEM Supply Chain?
14,list_multi_filter,False,2,2,0.7595,4,7,direct_context::mistral-small3.2:24b,Identify all Georgia companies with an EV Supply Chain Role related to wiring harnesses and show their Primary OEMs.
2,list_or_lookup,False,6,6,0.7762,3,7,direct_context::qwen3.6:35b-a3b,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?"
5,list_multi_filter,False,,11,0.8322,0,0,direct_context::qwen3.6:35b-a3b,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?"
6,list_or_lookup,False,3,1,1.0,5,7,direct_context::gemma3:27b,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?"
11,list_or_lookup,False,3,1,1.0,6,7,direct_context::deepseek-r1:32b,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.
17,list_or_lookup,False,,0,,0,0,,"Which Georgia Tier 1/2 companies produce engineered plastics, polymers, or composite materials applicable to EV structural or thermal components?"
