arm,model_name,question_number,claimed_company,cited_row_id,kb_company_at_row_id,status,match_type
direct_context,deepseek-r1:32b,10,Kia Georgia Inc,95,Kia Georgia Inc.,match,exact
direct_context,deepseek-r1:32b,10,Suzuki Manufacturing of America Corp,172,Suzuki Manufacturing of America Corp.,match,exact
direct_context,deepseek-r1:32b,11,Sewon America Inc,148,Sewon America Inc.,match,exact
direct_context,deepseek-r1:32b,11,Sewon America Inc,151,Sewon America Inc.,match,exact
direct_context,deepseek-r1:32b,11,Sewon America Inc,160,Denkai America,mismatch,
direct_context,deepseek-r1:32b,12,Arising Industries Inc,5,Arising Industries Inc.,match,exact
direct_context,deepseek-r1:32b,12,EVCO Plastics,6,Dinex Emissions Inc.,mismatch,
direct_context,deepseek-r1:32b,12,Aspen Aerogels,7,ACM Georgia LLC,mismatch,
direct_context,deepseek-r1:32b,12,Bonald,9,FOX Factory,mismatch,
direct_context,deepseek-r1:32b,12,Fouts Brothers Fire Equipment,10,Fouts Brothers Fire Equipment,match,exact
direct_context,deepseek-r1:32b,12,Aurubis,13,Aurubis,match,exact
direct_context,deepseek-r1:32b,12,AVS,16,AVS,match,exact
direct_context,deepseek-r1:32b,12,Blue Ridge Manufacturing,18,Blue Ridge Manufacturing,match,exact
direct_context,deepseek-r1:32b,12,Dongwon Autopart Technology Georgia LLC,21,Down 2 Earth Trailers,mismatch,
direct_context,deepseek-r1:32b,12,GEDIA Georgia LLC,24,Lund International Inc.,mismatch,
direct_context,deepseek-r1:32b,12,Constellium Automotive USA,26,Constellium Automotive USA,match,exact
direct_context,deepseek-r1:32b,12,BOSAL Industries Inc,29,Big Tex Trailer Manufacturing Inc.,mismatch,
direct_context,deepseek-r1:32b,12,DAEHAN Solution Georgia LLC,30,DAEHAN Solution Georgia LLC,match,exact
direct_context,deepseek-r1:32b,12,Duckyang,34,DAS Corp.,mismatch,
direct_context,deepseek-r1:32b,12,Enchem America Inc,35,Duckyang,mismatch,
direct_context,deepseek-r1:32b,12,Eaton Corp,36,Eaton Corp.,match,exact
direct_context,deepseek-r1:32b,12,Archer Aviation Inc,39,Archer Aviation Inc.,match,exact
direct_context,deepseek-r1:32b,12,F&P Georgia Manufacturing,41,Ecoplastic America Corporation,mismatch,
direct_context,deepseek-r1:32b,12,Continental Automotive,49,Continental Automotive,match,exact
direct_context,deepseek-r1:32b,12,Enchem America Inc,53,F&P Georgia Manufacturing,mismatch,
direct_context,deepseek-r1:32b,12,GSC Steel Stamping LLC,56,ADVICS Manufacturing Georgia LLC,mismatch,
direct_context,deepseek-r1:32b,12,DaeChang Seat Company,59,Continental Tire the Americas LLC,mismatch,
direct_context,deepseek-r1:32b,12,Decostar Industries,65,DaeChang Seat Company,mismatch,
direct_context,deepseek-r1:32b,12,FREYR Battery,69,GSC Steel Stamping LLC,mismatch,
direct_context,deepseek-r1:32b,12,Haering Precision USA LP,71,Haering Precision USA LP,match,exact
direct_context,deepseek-r1:32b,12,Global Powertrain Systems LLC,73,GEDIA Georgia LLC,mismatch,
direct_context,deepseek-r1:32b,12,Thermal Management,74,Global Powertrain Systems LLC,mismatch,
direct_context,deepseek-r1:32b,12,"Daesol Material Georgia, LLC",81,"Daesol Material Georgia, LLC",match,exact
direct_context,deepseek-r1:32b,12,GLOVIS Georgia LLC,82,GLOVIS Georgia LLC,match,exact
direct_context,deepseek-r1:32b,12,Solvay Specialty Polymers USA LLC,100,Lear Corporation,mismatch,
direct_context,deepseek-r1:32b,13,Racemark International LLC,150,Racemark International LLC,match,exact
direct_context,deepseek-r1:32b,13,Suzuki Manufacturing of America Corp,172,Suzuki Manufacturing of America Corp.,match,exact
direct_context,deepseek-r1:32b,14,WIKA USA,196,WIKA USA,match,exact
direct_context,deepseek-r1:32b,15,Denso Manufacturing Georgia,70,Denso Manufacturing Georgia,match,exact
direct_context,deepseek-r1:32b,15,Arising Industries Inc,75,Hitachi Astemo,mismatch,
direct_context,deepseek-r1:32b,15,IMMI,84,Hyundai Transys Georgia Powertrain,mismatch,
direct_context,deepseek-r1:32b,15,KTX America Corporation,96,KTX America Corporation,match,exact
direct_context,deepseek-r1:32b,15,Lear Corporation,100,Lear Corporation,match,exact
direct_context,deepseek-r1:32b,15,Lehigh Technologies Inc,101,Lehigh Technologies Inc.,match,exact
direct_context,deepseek-r1:32b,15,Linde + Wiemann,102,Linde + Wiemann,match,exact
direct_context,deepseek-r1:32b,15,Decostar Industries,103,Decostar Industries,match,exact
direct_context,deepseek-r1:32b,15,Lund International Inc./Ventshade Division,104,Lund International Inc./Ventshade Division,match,exact
direct_context,deepseek-r1:32b,15,Lyle Industries Inc,105,Lyle Industries Inc.,match,exact
direct_context,deepseek-r1:32b,16,Duckyang,35,Duckyang,match,exact
direct_context,deepseek-r1:32b,18,GSC Steel Stamping LLC,69,GSC Steel Stamping LLC,match,exact
direct_context,deepseek-r1:32b,18,Hyundai MOBIS (Georgia),99,Hyundai MOBIS (Georgia),match,exact
direct_context,deepseek-r1:32b,19,Archer Aviation Inc,39,Archer Aviation Inc.,match,exact
direct_context,deepseek-r1:32b,20,Hitachi Astemo Americas Inc,76,Hitachi Astemo Americas Inc.,match,exact
direct_context,deepseek-r1:32b,20,Hollingsworth & Vose Co,77,Hollingsworth & Vose Co.,match,exact
direct_context,deepseek-r1:32b,21,Dinex Emissions Inc,6,Dinex Emissions Inc.,match,exact
direct_context,deepseek-r1:32b,21,Aurubis,13,Aurubis,match,exact
direct_context,deepseek-r1:32b,21,Archer Aviation Inc,39,Archer Aviation Inc.,match,exact
direct_context,deepseek-r1:32b,21,ADVICS Manufacturing Georgia LLC,56,ADVICS Manufacturing Georgia LLC,match,exact
direct_context,deepseek-r1:32b,21,IMMI,79,Hwashin,mismatch,
direct_context,deepseek-r1:32b,21,Hyundai Transys Georgia Powertrain,84,Hyundai Transys Georgia Powertrain,match,exact
direct_context,deepseek-r1:32b,21,Kia Georgia Inc,95,Kia Georgia Inc.,match,exact
direct_context,deepseek-r1:32b,21,Lyle Industries Inc,106,Lyle Industries Inc.,match,exact
direct_context,deepseek-r1:32b,21,Novelis Inc,128,Novelis Inc.,match,exact
direct_context,deepseek-r1:32b,21,Panasonic Automotive Systems Co,137,Panasonic Automotive Systems Co.,match,exact
direct_context,deepseek-r1:32b,21,QSR Inc,149,QSR Inc.,match,exact
direct_context,deepseek-r1:32b,21,SK Battery America,163,SK Battery America,match,exact
direct_context,deepseek-r1:32b,21,TI Fluid Systems,180,TI Fluid Systems,match,exact
direct_context,deepseek-r1:32b,21,ZF Gainesville LLC,204,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,22,Arising Industries Inc,111,Arising Industries Inc.,match,exact
direct_context,deepseek-r1:32b,23,Trenton Pressing Inc,185,Trenton Pressing,match,exact
direct_context,deepseek-r1:32b,23,Vista Metals Corp,190,Vista Metals Corp.,match,exact
direct_context,deepseek-r1:32b,23,WIKA USA,196,WIKA USA,match,exact
direct_context,deepseek-r1:32b,23,Woodbridge Foam Corp,197,Woodbridge Foam Corp.,match,exact
direct_context,deepseek-r1:32b,23,Woory Industrial Co,198,Woory Industrial Co.,match,exact
direct_context,deepseek-r1:32b,23,Yachiyo Manufacturing of America LLC,199,Yachiyo Manufacturing of America LLC,match,exact
direct_context,deepseek-r1:32b,23,Yamaha Motor Manufacturing Corp,200,Yamaha Motor Manufacturing Corp.,match,exact
direct_context,deepseek-r1:32b,23,Yazaki North America,201,Yazaki North America,match,exact
direct_context,deepseek-r1:32b,23,YKK USA Inc,202,YKK USA Inc.,match,exact
direct_context,deepseek-r1:32b,23,ZF Gainesville LLC,203,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,23,ZF Gainesville LLC,204,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,23,ZF Gainesville LLC,205,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,24,DAS Corp,35,Duckyang,mismatch,
direct_context,deepseek-r1:32b,24,Hitachi Astemo Americas Inc,76,Hitachi Astemo Americas Inc.,match,exact
direct_context,deepseek-r1:32b,24,Hollingsworth & Vose Co,77,Hollingsworth & Vose Co.,match,exact
direct_context,deepseek-r1:32b,24,Hyundai Motor Group,83,Hyundai Motor Group,match,exact
direct_context,deepseek-r1:32b,25,Hyundai Transys Georgia Powertrain,84,Hyundai Transys Georgia Powertrain,match,exact
direct_context,deepseek-r1:32b,26,Arising Industries Inc,5,Arising Industries Inc.,match,exact
direct_context,deepseek-r1:32b,27,JTEKT North America Corp,1,JTEKT North America Corp.,match,exact
direct_context,deepseek-r1:32b,27,Kautex Inc,2,Kautex Inc.,match,exact
direct_context,deepseek-r1:32b,27,ACM Georgia LLC,6,Dinex Emissions Inc.,mismatch,
direct_context,deepseek-r1:32b,27,Lark United Manufacturing Inc,8,Lark United Manufacturing Inc.,match,exact
direct_context,deepseek-r1:32b,27,Fouts Brothers Fire Equipment,10,Fouts Brothers Fire Equipment,match,exact
direct_context,deepseek-r1:32b,27,MAT Heavy Duty,23,Bridgestone Bandag,mismatch,
direct_context,deepseek-r1:32b,27,Eaton Corp,24,Lund International Inc.,mismatch,
direct_context,deepseek-r1:32b,27,Mando America Corp,28,Mando America Corp.,match,exact
direct_context,deepseek-r1:32b,27,Milliken & Co./Valway Plant,37,MAT Heavy Duty,mismatch,
direct_context,deepseek-r1:32b,27,Mercedes-Benz USA LLC,40,Mercedes-Benz USA LLC,match,exact
direct_context,deepseek-r1:32b,27,F&P Georgia Manufacturing,53,F&P Georgia Manufacturing,match,exact
direct_context,deepseek-r1:32b,27,Hitachi Astemo Americas Inc,76,Hitachi Astemo Americas Inc.,match,exact
direct_context,deepseek-r1:32b,27,Hollingsworth & Vose Co,77,Hollingsworth & Vose Co.,match,exact
direct_context,deepseek-r1:32b,27,Hyundai Motor Group,83,Hyundai Motor Group,match,exact
direct_context,deepseek-r1:32b,27,Hyundai Transys Georgia Powertrain,84,Hyundai Transys Georgia Powertrain,match,exact
direct_context,deepseek-r1:32b,27,Kia Georgia Inc,95,Kia Georgia Inc.,match,exact
direct_context,deepseek-r1:32b,27,KTX America Corporation,96,KTX America Corporation,match,exact
direct_context,deepseek-r1:32b,27,Kyungshin America Corp,98,Kyungshin America Corp.,match,exact
direct_context,deepseek-r1:32b,27,Lear Corporation,100,Lear Corporation,match,exact
direct_context,deepseek-r1:32b,27,Lund International Inc./Ventshade Division,102,Linde + Wiemann,mismatch,
direct_context,deepseek-r1:32b,27,Lyle Industries Inc,105,Lyle Industries Inc.,match,exact
direct_context,deepseek-r1:32b,27,Lyle Industries Inc,106,Lyle Industries Inc.,match,exact
direct_context,deepseek-r1:32b,27,NIFCO KTW America Corp,123,NIFCO KTW America Corp.,match,exact
direct_context,deepseek-r1:32b,27,Nile Automotive,124,Nile Automotive,match,exact
direct_context,deepseek-r1:32b,27,Nisshinbo Automotive Manufacturing Inc,125,Nisshinbo Automotive Manufacturing Inc.,match,exact
direct_context,deepseek-r1:32b,27,Hyundai Transys Georgia Seating Systems,130,Hyundai Transys Georgia Seating Systems,match,exact
direct_context,deepseek-r1:32b,27,PPG Industries Inc,147,PPG Industries Inc.,match,exact
direct_context,deepseek-r1:32b,27,Seoyon E-Hwa Interior Systems,158,Seoyon E-Hwa Interior Systems,match,exact
direct_context,deepseek-r1:32b,27,SK Battery America,163,SK Battery America,match,exact
direct_context,deepseek-r1:32b,27,SungEel Recycling Park Georgia,170,SungEel Recycling Park Georgia,match,exact
direct_context,deepseek-r1:32b,27,Trenton Pressing Inc,185,Trenton Pressing,match,exact
direct_context,deepseek-r1:32b,27,Wabash National Corp,194,Wabash National Corp.,match,exact
direct_context,deepseek-r1:32b,27,WIKA USA,196,WIKA USA,match,exact
direct_context,deepseek-r1:32b,27,ZF Gainesville LLC,205,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,29,TI Fluid Systems,180,TI Fluid Systems,match,exact
direct_context,deepseek-r1:32b,29,TI Fluid Systems,181,TI Fluid Systems,match,exact
direct_context,deepseek-r1:32b,29,Tie Down Engineering,182,Tie Down Engineering,match,exact
direct_context,deepseek-r1:32b,29,TN Americas Holding Inc,183,TN Americas Holding Inc.,match,exact
direct_context,deepseek-r1:32b,29,Toyota Industries Group (TACG-TICA),184,Toyota Industries Group (TACG-TICA),match,exact
direct_context,deepseek-r1:32b,29,Trenton Pressing,185,Trenton Pressing,match,exact
direct_context,deepseek-r1:32b,29,Trenton Pressing Inc,186,Trenton Pressing Inc.,match,exact
direct_context,deepseek-r1:32b,29,Valeo,187,Valeo,match,exact
direct_context,deepseek-r1:32b,29,Vanguard National Trailer Corp,188,Vanguard National Trailer Corp.,match,exact
direct_context,deepseek-r1:32b,29,Vernay,189,Vernay,match,exact
direct_context,deepseek-r1:32b,29,Vista Metals Corp,190,Vista Metals Corp.,match,exact
direct_context,deepseek-r1:32b,29,Voestalpine Automotive Body Parts Inc,191,Voestalpine Automotive Body Parts Inc.,match,exact
direct_context,deepseek-r1:32b,29,Volvo Cars USA,192,Volvo Cars USA,match,exact
direct_context,deepseek-r1:32b,29,Volvo Group North America,193,Volvo Group North America,match,exact
direct_context,deepseek-r1:32b,29,Wabash National Corp,194,Wabash National Corp.,match,exact
direct_context,deepseek-r1:32b,29,Wheelabrator Group Inc,195,Wheelabrator Group Inc.,match,exact
direct_context,deepseek-r1:32b,29,WIKA USA,196,WIKA USA,match,exact
direct_context,deepseek-r1:32b,29,Woodbridge Foam Corp,197,Woodbridge Foam Corp.,match,exact
direct_context,deepseek-r1:32b,29,Woory Industrial Co,198,Woory Industrial Co.,match,exact
direct_context,deepseek-r1:32b,29,Yachiyo Manufacturing of America LLC,199,Yachiyo Manufacturing of America LLC,match,exact
direct_context,deepseek-r1:32b,29,Yamaha Motor Manufacturing Corp,200,Yamaha Motor Manufacturing Corp.,match,exact
direct_context,deepseek-r1:32b,29,Yazaki North America,201,Yazaki North America,match,exact
direct_context,deepseek-r1:32b,29,YKK USA Inc,202,YKK USA Inc.,match,exact
direct_context,deepseek-r1:32b,29,ZF Gainesville LLC,203,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,29,ZF Gainesville LLC,204,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,29,ZF Gainesville LLC,205,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,30,TCI Powder Coatings,174,TDK Components USA Inc.,mismatch,
direct_context,deepseek-r1:32b,30,TE Connectivity,175,TE Connectivity,match,exact
direct_context,deepseek-r1:32b,30,Vernay,189,Vernay,match,exact
direct_context,deepseek-r1:32b,30,Duckyang,35,Duckyang,match,exact
direct_context,deepseek-r1:32b,31,Ecoplastic America Corporation,10,Fouts Brothers Fire Equipment,mismatch,
direct_context,deepseek-r1:32b,31,Duckyang,21,Down 2 Earth Trailers,mismatch,
direct_context,deepseek-r1:32b,31,Continental Automotive,26,Constellium Automotive USA,mismatch,
direct_context,deepseek-r1:32b,31,"Daesol Material Georgia, LLC",31,Daesol Ausys,mismatch,
direct_context,deepseek-r1:32b,31,Eaton Corp,36,Eaton Corp.,match,exact
direct_context,deepseek-r1:32b,31,Ecoplastic Corporation,41,Ecoplastic America Corporation,match,exact
direct_context,deepseek-r1:32b,31,Hyundai Transys Georgia Powertrain,84,Hyundai Transys Georgia Powertrain,match,exact
direct_context,deepseek-r1:32b,31,Oneda Corp,90,Oneda Corp.,match,exact
direct_context,deepseek-r1:32b,31,Novelis Inc,129,Novelis Inc.,match,exact
direct_context,deepseek-r1:32b,31,Panasonic Automotive Systems Co,137,Panasonic Automotive Systems Co.,match,exact
direct_context,deepseek-r1:32b,31,SK Battery America,163,SK Battery America,match,exact
direct_context,deepseek-r1:32b,32,WIKA USA,196,WIKA USA,match,exact
direct_context,deepseek-r1:32b,33,TCI Powder Coatings,173,TCI Powder Coatings,match,exact
direct_context,deepseek-r1:32b,33,TE Connectivity,175,TE Connectivity,match,exact
direct_context,deepseek-r1:32b,33,Teklas USA,176,Teklas USA,match,exact
direct_context,deepseek-r1:32b,33,Textron Specialized Vehicles,177,Textron Specialized Vehicles,match,exact
direct_context,deepseek-r1:32b,34,ZF Gainesville LLC,203,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,34,ZF Gainesville LLC,205,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,34,ZF Gainesville LLC,204,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,34,Novelis Inc,60,Freudenberg-NOK,mismatch,
direct_context,deepseek-r1:32b,35,Freudenberg-NOK,60,Freudenberg-NOK,match,exact
direct_context,deepseek-r1:32b,35,TI Fluid Systems,180,TI Fluid Systems,match,exact
direct_context,deepseek-r1:32b,35,ZF Gainesville LLC,203,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,36,Fouts Brothers Fire Equipment,10,Fouts Brothers Fire Equipment,match,exact
direct_context,deepseek-r1:32b,36,Hwashin,79,Hwashin,match,exact
direct_context,deepseek-r1:32b,36,IMS Gear Georgia Inc,87,IMS Gear Georgia Inc.,match,exact
direct_context,deepseek-r1:32b,36,JAC Products Inc,89,JAC Products Inc.,match,exact
direct_context,deepseek-r1:32b,36,Hyundai Industrial Co,93,Hyundai Industrial Co.,match,exact
direct_context,deepseek-r1:32b,36,Hyundai MOBIS (Georgia),99,Hyundai MOBIS (Georgia),match,exact
direct_context,deepseek-r1:32b,36,Hyundai Transys Georgia Seating Systems,130,Hyundai Transys Georgia Seating Systems,match,exact
direct_context,deepseek-r1:32b,36,Inalfa Roof Systems Inc,145,Inalfa Roof Systems Inc.,match,exact
direct_context,deepseek-r1:32b,36,Racemark International LLC,150,Racemark International LLC,match,exact
direct_context,deepseek-r1:32b,36,Jefferson Southern Corp,165,Jefferson Southern Corp.,match,exact
direct_context,deepseek-r1:32b,37,Freudenberg-NOK,60,Freudenberg-NOK,match,exact
direct_context,deepseek-r1:32b,38,EVCO Plastics,52,EVCO Plastics,match,exact
direct_context,deepseek-r1:32b,38,F&P Georgia Manufacturing,53,F&P Georgia Manufacturing,match,exact
direct_context,deepseek-r1:32b,38,Enplas USA Inc,58,Enplas USA Inc.,match,exact
direct_context,deepseek-r1:32b,39,Remark International LLC,150,Racemark International LLC,match,fuzzy:0.952
direct_context,deepseek-r1:32b,40,Duckyang,35,Duckyang,match,exact
direct_context,deepseek-r1:32b,42,Trenton Pressing Inc,158,Seoyon E-Hwa Interior Systems,mismatch,
direct_context,gemma3:27b,1,Fouts Brothers Fire Equipment,10,Fouts Brothers Fire Equipment,match,exact
direct_context,gemma3:27b,1,Hitachi Astemo,75,Hitachi Astemo,match,exact
direct_context,gemma3:27b,1,Hyundai & LG Energy Solution (LGES),76,Hitachi Astemo Americas Inc.,mismatch,
direct_context,gemma3:27b,1,Lehigh Technologies Inc,77,Hollingsworth & Vose Co.,mismatch,
direct_context,gemma3:27b,1,Honda Development & Manufacturing,78,Honda Development & Manufacturing,match,exact
direct_context,gemma3:27b,1,Kia Georgia Inc,95,Kia Georgia Inc.,match,exact
direct_context,gemma3:27b,1,KTX America Corporation,96,KTX America Corporation,match,exact
direct_context,gemma3:27b,1,Hyundai Transys Georgia Seating Systems,99,Hyundai MOBIS (Georgia),mismatch,
direct_context,gemma3:27b,1,Superior Essex Inc,171,Superior Essex Inc.,match,exact
direct_context,gemma3:27b,1,TI Fluid Systems,181,TI Fluid Systems,match,exact
direct_context,gemma3:27b,2,Hyundai Kia,76,Hitachi Astemo Americas Inc.,mismatch,
direct_context,gemma3:27b,2,Hollingsworth & Vose Co,77,Hollingsworth & Vose Co.,match,exact
direct_context,gemma3:27b,2,Hyundai Motor Group,83,Hyundai Motor Group,match,exact
direct_context,gemma3:27b,2,Racemark International LLC,150,Racemark International LLC,match,exact
direct_context,gemma3:27b,2,SK Battery America,163,SK Battery America,match,exact
direct_context,gemma3:27b,3,Dinex Emissions Inc,6,Dinex Emissions Inc.,match,exact
direct_context,gemma3:27b,3,Haering Precision USA LP,71,Haering Precision USA LP,match,exact
direct_context,gemma3:27b,3,Panasonic Automotive Systems Co,137,Panasonic Automotive Systems Co.,match,exact
direct_context,gemma3:27b,3,SK Battery America,153,SHIROKI North America Inc,mismatch,
direct_context,gemma3:27b,3,Suzuki Manufacturing of America Corp,172,Suzuki Manufacturing of America Corp.,match,exact
direct_context,gemma3:27b,3,ZF Gainesville LLC,203,ZF Gainesville LLC,match,exact
direct_context,gemma3:27b,4,GSC Steel Stamping LLC,169,Suhner Manufacturing Corp.,mismatch,
direct_context,gemma3:27b,4,Suzuki Manufacturing of America Corp,175,TE Connectivity,mismatch,
direct_context,gemma3:27b,4,TI Fluid Systems,180,TI Fluid Systems,match,exact
direct_context,gemma3:27b,5,Kia Georgia Inc,195,Wheelabrator Group Inc.,mismatch,
direct_context,gemma3:27b,5,Superior Essex Inc,171,Superior Essex Inc.,match,exact
direct_context,gemma3:27b,5,Suzuki Manufacturing of America Corp,172,Suzuki Manufacturing of America Corp.,match,exact
direct_context,gemma3:27b,5,TCI Powder Coatings,173,TCI Powder Coatings,match,exact
direct_context,gemma3:27b,5,TDK Components USA Inc,174,TDK Components USA Inc.,match,exact
direct_context,gemma3:27b,5,TE Connectivity,175,TE Connectivity,match,exact
direct_context,gemma3:27b,6,Novelis Inc,164,SKF USA Inc.,mismatch,
direct_context,gemma3:27b,6,Novelis Inc,172,Suzuki Manufacturing of America Corp.,mismatch,
direct_context,gemma3:27b,6,Novelis Inc,180,TI Fluid Systems,mismatch,
direct_context,gemma3:27b,7,Arising Industries Inc,5,Arising Industries Inc.,match,exact
direct_context,gemma3:27b,7,FOX Factory,9,FOX Factory,match,exact
direct_context,gemma3:27b,7,AVS,16,AVS,match,exact
direct_context,gemma3:27b,7,Blue Bird Corp,25,Club Car LLC,mismatch,
direct_context,gemma3:27b,7,DAEHAN Solution Georgia LLC,30,DAEHAN Solution Georgia LLC,match,exact
direct_context,gemma3:27b,7,Enchem America Inc,51,Enchem America Inc.,match,exact
direct_context,gemma3:27b,7,Arising Industries Inc,61,Ajin Georgia,mismatch,
direct_context,gemma3:27b,7,FREYR Battery,68,FREYR Battery,match,exact
direct_context,gemma3:27b,7,Porsche Cars North America Inc,121,Porsche Cars North America Inc.,match,exact
direct_context,gemma3:27b,7,RealTruck,131,RealTruck,match,exact
direct_context,gemma3:27b,8,JTEKT North America Corp,1,JTEKT North America Corp.,match,exact
direct_context,gemma3:27b,8,Lund International Inc,24,Lund International Inc.,match,exact
direct_context,gemma3:27b,8,Jefferson Southern Corp,91,Jefferson Southern Corporation,match,exact
direct_context,gemma3:27b,9,JTEKT North America Corp,1,JTEKT North America Corp.,match,exact
direct_context,gemma3:27b,9,Grudem,3,Grudem,match,exact
direct_context,gemma3:27b,9,Jefferson Southern Corp,91,Jefferson Southern Corporation,match,exact
direct_context,gemma3:27b,9,Novelis Inc,128,Novelis Inc.,match,exact
direct_context,gemma3:27b,9,Trenton Pressing,146,Great Dane Trailers,mismatch,
direct_context,gemma3:27b,9,Racemark International LLC,150,Racemark International LLC,match,exact
direct_context,gemma3:27b,9,WIKA USA,196,WIKA USA,match,exact
direct_context,gemma3:27b,10,Kia Georgia Inc,195,Wheelabrator Group Inc.,mismatch,
direct_context,gemma3:27b,10,Superior Essex Inc,171,Superior Essex Inc.,match,exact
direct_context,gemma3:27b,10,TCI Powder Coatings,173,TCI Powder Coatings,match,exact
direct_context,gemma3:27b,11,Sewon America Inc,151,Sewon America Inc.,match,exact
direct_context,gemma3:27b,11,Sewon E-Hwa Interior Systems,157,Seoyon E-HWA,mismatch,
direct_context,gemma3:27b,11,Sewon America Inc,158,Seoyon E-Hwa Interior Systems,mismatch,
direct_context,gemma3:27b,12,Grudem,3,Grudem,match,exact
direct_context,gemma3:27b,12,Flambeau Inc,4,Flambeau Inc.,match,exact
direct_context,gemma3:27b,12,Arising Industries Inc,5,Arising Industries Inc.,match,exact
direct_context,gemma3:27b,12,Dinex Emissions Inc,6,Dinex Emissions Inc.,match,exact
direct_context,gemma3:27b,12,ACM Georgia LLC,7,ACM Georgia LLC,match,exact
direct_context,gemma3:27b,12,Ascend Elements,11,Ascend Elements,match,exact
direct_context,gemma3:27b,12,Aspen Aerogels,12,Aspen Aerogels,match,exact
direct_context,gemma3:27b,12,Aurubis,13,Aurubis,match,exact
direct_context,gemma3:27b,12,Dongwon Autopart Technology Georgia LLC,14,Dongwon Autopart Technology Georgia LLC,match,exact
direct_context,gemma3:27b,12,Beaver Manufacturing Co. Inc,15,Beaver Manufacturing Co. Inc.,match,exact
direct_context,gemma3:27b,12,AVS,16,AVS,match,exact
direct_context,gemma3:27b,12,Blue Ridge Manufacturing,17,Blue Bird Corp.,mismatch,
direct_context,gemma3:27b,12,Duckyang,35,Duckyang,match,exact
direct_context,gemma3:27b,12,EVCO Plastics,52,EVCO Plastics,match,exact
direct_context,gemma3:27b,12,Fouts Brothers Fire Equipment,53,F&P Georgia Manufacturing,mismatch,
direct_context,gemma3:27b,12,Bonnell Aluminum,60,Freudenberg-NOK,mismatch,
